,four,one,three,two
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d6678245-Reviews-Paroles_de_Fromagers-Paris_Ile_de_France.html,Paroles de Fromagers,"Visites privées, Cours et ateliers",161
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7935585-Reviews-Go_Go_Tours-Paris_Ile_de_France.html,Go Go Tours,Visites en Segway,501
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d4751219-Reviews-Lions_of_Agadir_Tours-Paris_Ile_de_France.html,Lions of Agadir Tours,Visites guidées,276
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d12255373-Reviews-Insolites_Collection-Paris_Ile_de_France.html,Insolites Collection,Locations de matériel,103
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d10065530-Reviews-Paris_15_15-Paris_Ile_de_France.html,Paris 15:15,"Visites de la ville, Visites privées",96
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d577423-Reviews-Fat_Tire_Tours_Paris-Paris_Ile_de_France.html,Fat Tire Tours--Paris,Excursions à vélo,5875
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2435919-Reviews-Flavors_of_Paris_Walking_Tours-Paris_Ile_de_France.html,Flavors of Paris Walking Tours,Visites pédestres,206
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d8742790-Reviews-Food_Tours_of_Paris-Paris_Ile_de_France.html,Food Tours of Paris,Visites de la ville,118
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d4045550-Reviews-Parigirando-Paris_Ile_de_France.html,Parigirando,Visites guidées,142
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d1784427-Reviews-City_Wonders-Paris_Ile_de_France.html,City Wonders,Visites de la ville,2203
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d647954-Reviews-Paris_Champagne_Tour-Paris_Ile_de_France.html,Paris Champagne Tour,Visites guidées,355
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d5018956-Reviews-Paris_Bar_Crawl-Paris_Ile_de_France.html,Paris Bar Crawl,,215
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d1577011-Reviews-Paris_Walks-Paris_Ile_de_France.html,Paris Walks,Circuits gourmands,511
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d3356628-Reviews-Underground_Paris-Paris_Ile_de_France.html,Underground Paris,,374
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d9800790-Reviews-Paseando_por_Europa_Paris-Paris_Ile_de_France.html,Paseando por Europa - Paris,"Visites en bus, Visites culturelles",286
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d1412437-Reviews-Paris_Bike_Tour-Paris_Ile_de_France.html,Paris Bike Tour,"Excursions à vélo, Visites guidées",199
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d1744382-Reviews-Discover_Walks-Paris_Ile_de_France.html,Discover Walks,Visites de la ville,1545
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d4545357-Reviews-The_Eiffel_Tower_Romance_Tour-Paris_Ile_de_France.html,The Eiffel Tower Romance Tour,Visites guidées,167
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d12289529-Reviews-NaParis-Paris_Ile_de_France.html,NaParis,Visites guidées,84
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d10127325-Reviews-RunRun_Tours-Paris_Ile_de_France.html,RunRun Tours,"Visites guidées, Visites et footing",63
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d4508262-Reviews-Paris_by_Bike-Paris_Ile_de_France.html,Paris by Bike,Excursions à vélo,276
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2450331-Reviews-Ricki_Stevenson_s_Black_Paris_Tours-Paris_Ile_de_France.html,Ricki Stevenson's Black Paris Tours,,350
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d8305082-Reviews-Pictours_Paris_Photo_Tours-Paris_Ile_de_France.html,Pictours Paris - Photo Tours,Circuits photographiques,75
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7653897-Reviews-Shopping_in_Glam_Paris-Paris_Ile_de_France.html,Shopping in Glam Paris,Circuits shopping,107
