,four,one,three,two
Cours et ateliers ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d12698629-Reviews-MA_Biere_Atelier_de_Brassage-Paris_Ile_de_France.html,MA Biere Atelier de Brassage,"Brasseries, Cours et ateliers",1
Cours et ateliers ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10398924-Reviews-Les_Belles_Copines-Paris_Ile_de_France.html,Les Belles Copines,"Cours et ateliers, Spas",6
Cours et ateliers ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d12342876-Reviews-Experience_Paris_Baguette_and_Croissant_Workshop-Paris_Ile_de_France.html,Experience Paris: Baguette and Croissant Workshop,"Cours et ateliers, Cours de cuisine",1
Cours et ateliers ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d8822172-Reviews-Paris_Marais_Dance_School-Paris_Ile_de_France.html,Paris Marais Dance School,Cours et ateliers,1
Cours et ateliers ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d12289586-Reviews-Le_Pigeon_Coq-Paris_Ile_de_France.html,Le Pigeon-Coq,Cours et ateliers,1
Cours et ateliers ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d11953397-Reviews-Project_Intermission_Eco_Luxe_Shopping_in_Paris-Paris_Ile_de_France.html,Project Intermission - Eco Luxe Shopping in Paris,Cours et ateliers,1
Cours et ateliers ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d3307767-Reviews-Photo_Tours_in_Paris-Paris_Ile_de_France.html,Photo Tours in Paris,Cours et ateliers,2
Cours et ateliers ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10386154-Reviews-Tout_s_arrange-Paris_Ile_de_France.html,Tout s'arrange,Ateliers de peinture et de poterie,1
Cours et ateliers ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10046282-Reviews-Paris_Mambo-Paris_Ile_de_France.html,Paris Mambo,Cours et ateliers,1
Cours et ateliers ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d4450627-Reviews-Academie_de_la_Grande_Chaumiere-Paris_Ile_de_France.html,Acad√©mie de la Grande Chaumiere,Cours et ateliers,1
Cours et ateliers ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d6871348-Reviews-Cake_L_Atelier-Paris_Ile_de_France.html,Cake L'Atelier,Cours et ateliers,2
Cours et ateliers ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d8002824-Reviews-Atelier_Vermeer-Paris_Ile_de_France.html,Atelier Vermeer,Ateliers de peinture et de poterie,1
Cours et ateliers ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d244880-Reviews-Ateliers_de_Paris_Carolyn_Carlson-Paris_Ile_de_France.html,Ateliers de Paris--Carolyn Carlson,Cours et ateliers,2
Cours et ateliers ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d10046291-Reviews-Papy_Bio-Paris_Ile_de_France.html,Papy Bio,Cours de cuisine,8
Cours et ateliers ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d2024267-Reviews-ARoi_Thai_Cooking-Paris_Ile_de_France.html,aRoi Thai Cooking,Cours de cuisine,1
Cours et ateliers ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d8791314-Reviews-L_Atelier_des_Coupons_Saint_Pierre-Paris_Ile_de_France.html,L'Atelier des Coupons Saint Pierre,Cours et ateliers,7
Cours et ateliers ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d13377474-Reviews-Studio_Paris_en_Seine-Paris_Ile_de_France.html,Studio Paris en Seine,Circuits photographiques,3
Cours et ateliers ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d6882912-Reviews-Cook_Go-Paris_Ile_de_France.html,Cook & Go,Autres options de restauration,71
Cours et ateliers ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d244967-Reviews-Le_Centre_des_Arts_Vivants-Paris_Ile_de_France.html,Le Centre des Arts vivants,Cours et ateliers,6
Cours et ateliers ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d12624235-Reviews-Cours_de_Creation_de_Parfum-Paris_Ile_de_France.html,Cours de Cr√©ation de Parfum,Cours et ateliers,3
Cours et ateliers ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d13323733-Reviews-Cours_de_Danse_Classique_d_Arnaud_Dreyfus-Paris_Ile_de_France.html,Cours de Danse Classique d'Arnaud Dreyfus,Cours et ateliers,8
Cours et ateliers ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d6581854-Reviews-Espace_Sportif_Pailleron-Paris_Ile_de_France.html,Espace Sportif Pailleron,Autres jeux et divertissements,25
Cours et ateliers ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d6558601-Reviews-L_Ecole_du_Vin_Bio-Paris_Ile_de_France.html,L'Ecole du Vin Bio,Cours et ateliers,1
Cours et ateliers ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d13336903-Reviews-Experiences_Photo-Paris_Ile_de_France.html,Experiences Photo,Circuits photographiques,0
Cours et ateliers ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d14470340-Reviews-Mark_Harding-Paris_Ile_de_France.html,Mark Harding,Cours et ateliers,0
Cours et ateliers ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d14236636-Reviews-The_French_Class-Paris_Ile_de_France.html,The French Class,Cours et ateliers,1
Cours et ateliers ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d14214780-Reviews-Artacademie-Paris_Ile_de_France.html,Artacademie,Ateliers de peinture et de poterie,0
Cours et ateliers ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d14181248-Reviews-Joris_Gallery-Paris_Ile_de_France.html,Joris Gallery,Cours et ateliers,0
Cours et ateliers ‡ Paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d14076650-Reviews-Graffiti_Paris-Paris_Ile_de_France.html,Graffiti Paris,Cours et ateliers,0
